AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100619|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100620|SAT-AC|info|nvl 1:(EnviarDadosVenda):978888 CF-e-SAT CFe35200703476811015264590003462880190659720356 gerado com sucesso
20200728100620|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100647|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100647|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100647|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100648|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100648|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100648|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100649|SAT-AC|info|nvl 1:(EnviarDadosVenda):979121 CF-e-SAT CFe35200703476811015264590003462880190666318142 gerado com sucesso
20200728100649|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100733|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100733|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100733|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100734|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100734|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100734|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100735|SAT-AC|info|nvl 1:(EnviarDadosVenda):979240 CF-e-SAT CFe35200703476811015264590003462880190671516437 gerado com sucesso
20200728100735|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100832|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100832|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100832|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100832|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100832|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100833|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100833|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100833|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100842|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100842|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100842|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100843|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100843|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100843|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100844|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100844|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100848|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100848|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100848|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100849|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100849|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101131|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101131|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101131|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101132|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101132|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101132|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728101133|SAT-AC|info|nvl 1:(EnviarDadosVenda):979866 CF-e-SAT CFe35200703476811015264590003462880190687941019 gerado com sucesso
20200728101133|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728101214|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101214|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101214|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101215|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101215|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101215|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101215|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101215|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101216|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101216|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101216|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101217|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101217|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101247|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101247|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101247|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101248|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101248|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101248|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728101249|SAT-AC|info|nvl 1:(EnviarDadosVenda):980231 CF-e-SAT CFe35200703476811015264590003462880190694305327 gerado com sucesso
20200728101249|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728101400|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101400|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101400|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101400|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101400|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101401|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728101402|SAT-AC|info|nvl 1:(EnviarDadosVenda):980405 CF-e-SAT CFe35200703476811015264590003462880190704470171 gerado com sucesso
20200728101402|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728101628|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101628|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101628|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101629|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101629|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101629|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101629|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101629|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101630|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101630|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101630|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101631|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101631|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101719|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101719|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101719|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101720|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101720|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101720|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728101721|SAT-AC|info|nvl 1:(EnviarDadosVenda):980937 CF-e-SAT CFe35200703476811015264590003462880190713306583 gerado com sucesso
