-
SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130825|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130830|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130836|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130839|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130839|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130839|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130839|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201019130839|SAT|erro|nvl 0:(bloqueio) falha ao sair do estado de bloqueio
20201019130841|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130847|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130852|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130857|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130859|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019130859|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130903|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130908|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130914|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130919|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130925|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130929|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130929|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130929|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130929|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130930|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130935|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
