08:00:00	1267
08:10:00	1482
08:20:00	1627
08:30:00	1655
08:40:00	1614
08:50:00	1731
09:00:00	1491
09:10:00	1794
09:20:00	1753
09:30:00	1903
09:40:00	1901
09:50:00	1988
10:00:00	1883
10:10:00	2015
10:20:00	1763
10:30:00	1620
10:40:00	1652
10:50:00	1584
11:00:00	1640
11:10:00	1697
11:20:00	1803
11:30:00	1959
11:40:00	1881
11:50:00	1868
12:00:00	1890
12:10:00	1918
12:20:00	1929
12:30:00	1942
12:40:00	1803
12:50:00	1782
13:00:00	1739
13:10:00	1807
13:20:00	1819
13:30:00	1671
13:40:00	1734
13:50:00	1722
14:00:00	1542
14:10:00	1751
14:20:00	1766
14:30:00	1797
14:40:00	1797
14:50:00	1835
15:00:00	1839
15:10:00	1875
15:20:00	1825
15:30:00	1844
15:40:00	1994
15:50:00	1985
16:00:00	1998
16:10:00	2063
16:20:00	2112
16:30:00	2063
16:40:00	2148
16:50:00	2191
17:00:00	2179
17:10:00	2257
17:20:00	2266
17:30:00	2320
17:40:00	2395
17:50:00	283
18:00:00	0
18:10:00	0
18:20:00	0
18:30:00	0
18:40:00	0
