loja;regiao;divisao;centro;uf
09327;LESTE;FRANQUIA;CDM;SP
09341;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09351;VALE;FRANQUIA;CDA;SP
09374;SUL;FRANQUIA;CDM;SP
09376;VALE;FRANQUIA;CDA;SP
09382;INTERIOR;FRANQUIA;CDI;SP
09383;SUL;FRANQUIA;CDA;SP
09385;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09386;OESTE;FRANQUIA;CDA;SP
09394;INTERIOR;FRANQUIA;CDI;SP
09400;SUL;FRANQUIA;CDM;SP
09403;LESTE;FRANQUIA;CDM;SP
09408;OESTE;FRANQUIA;CDA;SP
