loja;regiao;divisao;centro;uf
00644;INTERIOR;PROPRIA;CDNSR;RS
00645;GDE. POA;PROPRIA;CDNSR;RS
00647;GDE. POA;PROPRIA;CDNSR;RS
00648;SERRA;FRANQUIA;CDNSR;RS
00649;INTERIOR;PROPRIA;CDNSR;RS
00650;INTERIOR;PROPRIA;CDNSR;RS
00651;INTERIOR;PROPRIA;CDNSR;RS
00652;GDE. POA;PROPRIA;CDNSR;RS
00653;INTERIOR;PROPRIA;CDNSR;RS
00656;INTERIOR;PROPRIA;CDNSR;RS
00658;INTERIOR;PROPRIA;CDNSR;RS
00659;INTERIOR;PROPRIA;CDNSR;RS
00660;INTERIOR;PROPRIA;CDNSR;RS
00661;GDE. POA;FRANQUIA;CDNSR;RS
00663;INTERIOR;PROPRIA;CDNSR;RS
00664;LITORAL;PROPRIA;CDNSR;RS
00665;PORTO ALEGRE;PROPRIA;CDNSR;RS
00667;INTERIOR;FRANQUIA;CDNSR;RS
00668;PORTO ALEGRE;FRANQUIA;CDNSR;RS
00669;INTERIOR;PROPRIA;CDNSR;RS
00671;GDE. POA;PROPRIA;CDNSR;RS
00672;PORTO ALEGRE;PROPRIA;CDNSR;RS
00673;PORTO ALEGRE;PROPRIA;CDNSR;RS
00674;GDE. POA;PROPRIA;CDNSR;RS
00676;PORTO ALEGRE;PROPRIA;CDNSR;RS
00677;INTERIOR;PROPRIA;CDNSR;RS
00678;GDE. POA;PROPRIA;CDNSR;RS
00679;GDE. POA;PROPRIA;CDNSR;RS
00680;GDE. POA;PROPRIA;CDNSR;RS
00681;GDE. POA;PROPRIA;CDNSR;RS
00682;PORTO ALEGRE;PROPRIA;CDNSR;RS
00683;GDE. POA;PROPRIA;CDNSR;RS
00684;PORTO ALEGRE;PROPRIA;CDNSR;RS
00686;PORTO ALEGRE;PROPRIA;CDNSR;RS
00687;PORTO ALEGRE;PROPRIA;CDNSR;RS
00690;PORTO ALEGRE;PROPRIA;CDNSR;RS
00691;GDE. POA;PROPRIA;CDNSR;RS
00692;PORTO ALEGRE;PROPRIA;CDNSR;RS
00693;PORTO ALEGRE;PROPRIA;CDNSR;RS
00694;PORTO ALEGRE;PROPRIA;CDNSR;RS
00695;PORTO ALEGRE;PROPRIA;CDNSR;RS
00696;GDE. POA;PROPRIA;CDNSR;RS
00697;GDE. POA;FRANQUIA;CDNSR;RS
00698;PORTO ALEGRE;PROPRIA;CDNSR;RS
00699;GDE. POA;FRANQUIA;CDNSR;RS
00703;GDE. POA;PROPRIA;CDNSR;RS
00705;GDE. POA;PROPRIA;CDNSR;RS
00708;GDE. POA;PROPRIA;CDNSR;RS
00709;GDE. POA;PROPRIA;CDNSR;RS
00710;GDE. POA;PROPRIA;CDNSR;RS
00713;GDE. POA;PROPRIA;CDNSR;RS
00801;BELO HORIZONTE;PROPRIA;CDB;MG
00804;BELO HORIZONTE;PROPRIA;CDB;MG
00805;BELO HORIZONTE;PROPRIA;CDB;MG
00806;GDE. BH;FRANQUIA;CDB;MG
00807;BELO HORIZONTE;PROPRIA;CDB;MG
00808;BELO HORIZONTE;PROPRIA;CDB;MG
00810;GDE. BH;PROPRIA;CDB;MG
00809;GDE. BH;PROPRIA;CDB;MG
00811;BELO HORIZONTE;PROPRIA;CDB;MG
00816;BELO HORIZONTE;PROPRIA;CDB;MG
00819;BELO HORIZONTE;PROPRIA;CDB;MG
00820;BELO HORIZONTE;PROPRIA;CDB;MG
00822;INTERIOR;PROPRIA;CDB;MG
00825;GDE. BH;PROPRIA;CDB;MG
00827;INTERIOR;PROPRIA;CDB;MG
00828;GDE. BH;PROPRIA;CDB;MG
00829;BELO HORIZONTE;PROPRIA;CDB;MG
00830;BELO HORIZONTE;PROPRIA;CDB;MG
00831;BELO HORIZONTE;PROPRIA;CDB;MG
00832;GDE. BH;PROPRIA;CDB;MG
00833;GDE. BH;PROPRIA;CDB;MG
00835;BELO HORIZONTE;PROPRIA;CDB;MG
00836;BELO HORIZONTE;PROPRIA;CDB;MG
00838;BELO HORIZONTE;PROPRIA;CDB;MG
00839;GDE. BH;PROPRIA;CDB;MG
00840;BELO HORIZONTE;PROPRIA;CDB;MG
00843;GDE. BH;PROPRIA;CDB;MG
00844;BELO HORIZONTE;PROPRIA;CDB;MG
00845;BELO HORIZONTE;PROPRIA;CDB;MG
00846;BELO HORIZONTE;PROPRIA;CDB;MG
00848;BELO HORIZONTE;PROPRIA;CDB;MG
00849;GDE. BH;PROPRIA;CDB;MG
00850;GDE. BH;PROPRIA;CDB;MG
00852;BELO HORIZONTE;PROPRIA;CDB;MG
00853;GDE. BH;PROPRIA;CDB;MG
00854;INTERIOR;PROPRIA;CDB;MG
00855;BELO HORIZONTE;PROPRIA;CDB;MG
00856;BELO HORIZONTE;PROPRIA;CDB;MG
00857;BELO HORIZONTE;PROPRIA;CDB;MG
00858;BELO HORIZONTE;PROPRIA;CDB;MG
00859;BELO HORIZONTE;PROPRIA;CDB;MG
00860;BELO HORIZONTE;PROPRIA;CDB;MG
00862;BELO HORIZONTE;PROPRIA;CDB;MG
00863;GDE. BH;PROPRIA;CDB;MG
00865;BELO HORIZONTE;PROPRIA;CDB;MG
00868;BELO HORIZONTE;PROPRIA;CDB;MG
00869;GDE. BH;PROPRIA;CDB;MG
00870;INTERIOR;PROPRIA;CDB;MG
00873;INTERIOR;PROPRIA;CDB;MG
00875;BELO HORIZONTE;PROPRIA;CDB;MG
00876;BELO HORIZONTE;PROPRIA;CDB;MG
00878;BELO HORIZONTE;PROPRIA;CDB;MG
00879;INTERIOR;PROPRIA;CDB;MG
00881;GDE. BH;PROPRIA;CDB;MG
00882;BELO HORIZONTE;PROPRIA;CDB;MG
00883;BELO HORIZONTE;PROPRIA;CDB;MG
00885;BELO HORIZONTE;PROPRIA;CDB;MG
00886;BELO HORIZONTE;PROPRIA;CDB;MG
00887;INTERIOR;PROPRIA;CDB;MG
00890;BELO HORIZONTE;PROPRIA;CDB;MG
00891;BELO HORIZONTE;PROPRIA;CDB;MG
00892;GDE. BH;PROPRIA;CDB;MG
00893;BELO HORIZONTE;PROPRIA;CDB;MG
00894;BELO HORIZONTE;PROPRIA;CDB;MG
01000;SUL;PROPRIA;CDA;SP
01001;LITORAL;PROPRIA;CDM;SP
01002;RIBEIRÃO PRETO;PROPRIA;CDB;MG
01003;INTERIOR;PROPRIA;CDI;SP
01004;OESTE;PROPRIA;CDA;SP
01005;SUL;PROPRIA;CDA;SP
01006;OESTE;FRANQUIA;CDA;SP
01007;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01008;ABCDM;PROPRIA;CDM;SP
01009;SUL;PROPRIA;CDA;SP
01010;INTERIOR;FRANQUIA;CDI;SP
01011;LESTE;PROPRIA;CDA;SP
01012;CENTRO;PROPRIA;CDA;SP
01014;INTERIOR;PROPRIA;CDI;SP
01015;LITORAL;FRANQUIA;CDM;SP
01017;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01020;SUL;PROPRIA;CDA;SP
01021;SUL;PROPRIA;CDA;SP
01023;INTERIOR;PROPRIA;CDI;SP
01024;OESTE;PROPRIA;CDI;SP
01026;SUL;FRANQUIA;CDA;SP
01027;SUL;PROPRIA;CDA;SP
01028;INTERIOR;PROPRIA;CDI;SP
01029;SUL;PROPRIA;CDA;SP
01030;INTERIOR;PROPRIA;CDI;SP
01031;INTERIOR;PROPRIA;CDI;SP
01032;CENTRO;PROPRIA;CDA;SP
01033;SUL;PROPRIA;CDA;SP
01034;NORTE;PROPRIA;CDA;SP
01035;SUL;PROPRIA;CDA;SP
01036;NORTE;PROPRIA;CDI;SP
01037;SUL;PROPRIA;CDA;SP
01038;NORTE;PROPRIA;CDA;SP
01039;SUL;PROPRIA;CDA;SP
01040;LESTE;PROPRIA;CDM;SP
01041;VALE;PROPRIA;CDM;SP
01042;LITORAL;PROPRIA;CDM;SP
01043;OESTE;PROPRIA;CDA;SP
01044;CENTRO;PROPRIA;CDA;SP
01045;CENTRO;PROPRIA;CDA;SP
01046;ABCDM;PROPRIA;CDM;SP
01047;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01049;VALE;PROPRIA;CDA;SP
01051;SUL;PROPRIA;CDA;SP
01053;INTERIOR;PROPRIA;CDI;SP
01054;LESTE;PROPRIA;CDM;SP
01056;INTERIOR;PROPRIA;CDM;SP
01057;INTERIOR;PROPRIA;CDI;SP
01058;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
01059;OESTE;FRANQUIA;CDA;SP
01060;SUL;PROPRIA;CDA;SP
01061;SUL;PROPRIA;CDA;SP
01062;OESTE;PROPRIA;CDA;SP
01063;OESTE;PROPRIA;CDI;SP
01064;CENTRO;PROPRIA;CDA;SP
01065;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01067;SUL;PROPRIA;CDA;SP
01068;OESTE;PROPRIA;CDA;SP
01069;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01070;SUL;PROPRIA;CDA;SP
01071;ABCDM;PROPRIA;CDM;SP
01073;OESTE;PROPRIA;CDA;SP
01074;INTERIOR;PROPRIA;CDI;SP
01075;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01076;INTERIOR;PROPRIA;CDI;SP
01077;OESTE;FRANQUIA;CDA;SP
01078;ABCDM;PROPRIA;CDM;SP
01079;CENTRO;PROPRIA;CDA;SP
01080;OESTE;PROPRIA;CDA;SP
01081;SUL;PROPRIA;CDA;SP
01082;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01088;OESTE;PROPRIA;CDA;SP
01089;ABCDM;PROPRIA;CDM;SP
01091;CENTRO;PROPRIA;CDA;SP
01092;INTERIOR;FRANQUIA;CDM;SP
01093;OESTE;PROPRIA;CDA;SP
01094;SUL;PROPRIA;CDA;SP
01095;NORTE;PROPRIA;CDA;SP
01096;OESTE;PROPRIA;CDA;SP
01097;SUL;PROPRIA;CDA;SP
01098;LESTE;PROPRIA;CDM;SP
01099;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01100;SUL;PROPRIA;CDA;SP
01101;NORTE;PROPRIA;CDM;SP
01102;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01103;CENTRO;PROPRIA;CDA;SP
01104;LESTE;PROPRIA;CDM;SP
01105;OESTE;PROPRIA;CDA;SP
01106;CENTRO;PROPRIA;CDA;SP
01108;INTERIOR;PROPRIA;CDI;SP
01109;INTERIOR;PROPRIA;CDI;SP
01110;ABCDM;PROPRIA;CDM;SP
01111;OESTE;PROPRIA;CDI;SP
01112;OESTE;FRANQUIA;CDI;SP
01114;SUL;PROPRIA;CDM;SP
01116;INTERIOR;PROPRIA;CDI;SP
01117;SUL;PROPRIA;CDM;SP
01118;INTERIOR;PROPRIA;CDI;SP
01119;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01120;OESTE;PROPRIA;CDA;SP
01121;INTERIOR;PROPRIA;CDI;SP
01122;INTERIOR;PROPRIA;CDI;SP
01124;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01125;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01126;SUL;PROPRIA;CDA;SP
01128;NORTE;PROPRIA;CDA;SP
01129;NULL;PROPRIA;CDA;SP
01131;CENTRO;PROPRIA;CDA;SP
01130;INTERIOR;PROPRIA;CDI;SP
01132;INTERIOR;PROPRIA;CDI;SP
01133;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01134;LESTE;PROPRIA;CDM;SP
01136;SUL;PROPRIA;CDA;SP
01139;CENTRO;PROPRIA;CDA;SP
01140;CENTRO;PROPRIA;CDA;SP
01141;CENTRO;PROPRIA;CDA;SP
01142;ABCDM;PROPRIA;CDM;SP
01143;OESTE;PROPRIA;CDA;SP
01145;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01146;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01147;INTERIOR;PROPRIA;CDI;SP
01148;INTERIOR;PROPRIA;CDI;SP
01149;LITORAL;PROPRIA;CDM;SP
01150;INTERIOR;PROPRIA;CDI;SP
01152;OESTE;PROPRIA;CDI;SP
01153;OESTE;PROPRIA;CDA;SP
01154;SUL;PROPRIA;CDA;SP
01155;SUL;PROPRIA;CDA;SP
01156;OESTE;PROPRIA;CDA;SP
01159;RIBEIRÃO PRETO;PROPRIA;CDR;SP
01162;NULL;PROPRIA;CDI;SP
01166;NULL;PROPRIA;CDI;SP
01167;NORTE;PROPRIA;CDA;SP
01168;NULL;PROPRIA;CDM;SP
03338;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03343;SUL;FRANQUIA;CDA;SP
03344;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03346;OESTE;FRANQUIA;CDA;SP
03349;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03351;NORTE;FRANQUIA;CDA;SP
03353;INTERIOR;FRANQUIA;CDI;SP
03356;SUL;FRANQUIA;CDM;SP
03382;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03388;VALE;FRANQUIA;CDM;SP
03389;LITORAL;FRANQUIA;CDM;SP
03390;VALE;FRANQUIA;CDM;SP
03391;LITORAL;FRANQUIA;CDM;SP
03393;LESTE;FRANQUIA;CDA;SP
03394;SUL;FRANQUIA;CDA;SP
03395;LESTE;FRANQUIA;CDA;SP
03398;SUL;FRANQUIA;CDA;SP
03400;LESTE;FRANQUIA;CDM;SP
03401;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03403;LITORAL;FRANQUIA;CDM;SP
03404;INTERIOR;FRANQUIA;CDI;SP
03407;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03408;SUL;FRANQUIA;CDA;SP
03412;OESTE;FRANQUIA;CDI;SP
03417;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03418;SUL;FRANQUIA;CDA;SP
03419;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03422;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03430;OESTE;FRANQUIA;CDI;SP
03431;SUL;FRANQUIA;CDA;SP
03433;NORTE;FRANQUIA;CDA;SP
03434;NORTE;FRANQUIA;CDA;SP
03435;NORTE;FRANQUIA;CDA;SP
03436;NORTE;FRANQUIA;CDA;SP
03437;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03438;SUL;FRANQUIA;CDA;SP
03440;INTERIOR;FRANQUIA;CDR;SP
03444;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03445;OESTE;FRANQUIA;CDA;SP
03447;OESTE;FRANQUIA;CDA;SP
03450;OESTE;FRANQUIA;CDI;SP
03451;INTERIOR;FRANQUIA;CDI;SP
03452;OESTE;FRANQUIA;CDA;SP
03458;LESTE;FRANQUIA;CDM;SP
03459;NORTE;FRANQUIA;CDA;SP
03464;LITORAL;FRANQUIA;CDM;SP
03471;NORTE;FRANQUIA;CDA;SP
03472;INTERIOR;FRANQUIA;CDI;SP
03473;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03475;SUL;FRANQUIA;CDA;SP
03477;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03478;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03481;OESTE;FRANQUIA;CDA;SP
03482;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03483;SUL;FRANQUIA;CDA;SP
03486;INTERIOR;FRANQUIA;CDI;SP
03488;INTERIOR;FRANQUIA;CDI;SP
03489;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03490;SUL;FRANQUIA;CDA;SP
03497;INTERIOR;FRANQUIA;CDI;SP
03505;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03517;LITORAL;FRANQUIA;CDM;SP
03521;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03523;INTERIOR;FRANQUIA;CDI;SP
03524;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
03530;INTERIOR;FRANQUIA;CDI;SP
03532;INTERIOR;FRANQUIA;CDI;SP
03535;NORTE;FRANQUIA;CDA;SP
03541;VALE;FRANQUIA;CDM;SP
07008;BELO HORIZONTE;FRANQUIA;CDB;MG
07009;BELO HORIZONTE;FRANQUIA;CDB;MG
07010;BELO HORIZONTE;FRANQUIA;CDB;MG
07032;GDE. BH;FRANQUIA;CDB;MG
07033;BELO HORIZONTE;FRANQUIA;CDB;MG
07038;BELO HORIZONTE;FRANQUIA;CDB;MG
07039;GDE. BH;FRANQUIA;CDB;MG
07040;GDE. BH;FRANQUIA;CDB;MG
07046;INTERIOR;FRANQUIA;CDB;MG
07050;GDE. BH;FRANQUIA;CDB;MG
07052;GDE. BH;FRANQUIA;CDB;MG
07053;BELO HORIZONTE;FRANQUIA;CDB;MG
07054;BELO HORIZONTE;FRANQUIA;CDB;MG
07059;BELO HORIZONTE;FRANQUIA;CDB;MG
07066;INTERIOR;FRANQUIA;CDB;MG
07085;BELO HORIZONTE;FRANQUIA;CDB;MG
07087;BELO HORIZONTE;FRANQUIA;CDB;MG
07088;BELO HORIZONTE;FRANQUIA;CDB;MG
07095;BELO HORIZONTE;FRANQUIA;CDB;MG
08003;GDE. POA;FRANQUIA;CDNSR;RS
08035;GDE. POA;FRANQUIA;CDNSR;RS
08056;INTERIOR;FRANQUIA;CDNSR;RS
08057;SERRA;FRANQUIA;CDNSR;RS
08058;LITORAL;FRANQUIA;CDNSR;RS
08082;INTERIOR;FRANQUIA;CDNSR;RS
08084;GDE. POA;FRANQUIA;CDNSR;RS
08085;LITORAL;FRANQUIA;CDNSR;RS
08086;INTERIOR;FRANQUIA;CDNSR;RS
08110;SERRA;FRANQUIA;CDNSR;RS
08143;SERRA ;FRANQUIA;CDNSR;RS
08144;INTERIOR;FRANQUIA;CDNSR;RS
09012;INTERIOR;FRANQUIA;CDI;SP
09027;INTERIOR;FRANQUIA;CDI;SP
09030;INTERIOR;FRANQUIA;CDI;SP
09049;LITORAL;FRANQUIA;CDM;SP
09055;OESTE;FRANQUIA;CDA;SP
09058;LITORAL;FRANQUIA;CDM;SP
09061;ABCDM;FRANQUIA;CDM;SP
09062;LITORAL;FRANQUIA;CDM;SP
09064;INTERIOR;FRANQUIA;CDI;SP
09066;LITORAL;FRANQUIA;CDM;SP
09070;CENTRO;FRANQUIA;CDM;SP
09071;LESTE;FRANQUIA;CDM;SP
09088;INTERIOR;FRANQUIA;CDI;SP
09090;LITORAL;FRANQUIA;CDM;SP
09099;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09110;VALE;FRANQUIA;CDM;SP
09111;ABCDM;FRANQUIA;CDM;SP
09116;ABCDM;FRANQUIA;CDM;SP
09119;LITORAL;FRANQUIA;CDM;SP
09120;LITORAL;FRANQUIA;CDM;SP
09122;INTERIOR;FRANQUIA;CDI;SP
09125;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09129;ABCDM;FRANQUIA;CDM;SP
09132;ABCDM;FRANQUIA;CDM;SP
09136;SUL;FRANQUIA;CDM;SP
09142;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09144;OESTE;FRANQUIA;CDA;SP
09146;LITORAL;FRANQUIA;CDM;SP
09147;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
