Tienda,Cesion,"Fecha Salida","Fecha Entrada"
75210,CL_0001063968,"2018-04-16 08:00:30","2018-04-16 08:02:16"
75210,CL_0001063970,"2018-04-16 08:03:47","2018-04-16 08:07:23"
75210,CL_0001063971,"2018-04-16 08:10:34","2018-04-16 08:13:53"
75210,CL_0001063984,"2018-04-16 08:18:26","2018-04-16 08:23:53"
75210,CL_0001063988,"2018-04-16 08:20:58","2018-04-16 08:23:53"
75210,CL_0001063993,"2018-04-16 08:23:42","2018-04-16 08:28:53"
75210,CL_0001063994,"2018-04-16 08:22:33","2018-04-16 08:28:53"
75210,CL_0001063999,"2018-04-16 08:16:36","2018-04-16 08:18:53"
75210,CL_0001064000,"2018-04-16 08:31:48","2018-04-16 08:33:53"
75210,CL_0001064004,"2018-04-16 08:36:08","2018-04-16 08:38:53"
75210,CL_0001064005,"2018-04-16 08:41:49","2018-04-16 08:43:53"
75210,CL_0001064012,"2018-04-16 08:27:30","2018-04-16 08:28:53"
75210,CL_0001064014,"2018-04-16 08:35:24","2018-04-16 08:38:53"
75210,CL_0001064015,"2018-04-16 08:45:59","2018-04-16 08:52:23"
75210,CL_0001064018,"2018-04-16 08:13:59","2018-04-16 08:18:53"
75210,CL_0001064020,"2018-04-16 08:52:47","2018-04-16 08:56:20"
75210,CL_0001064030,"2018-04-16 09:03:44","2018-04-16 09:06:51"
75210,CL_0001064036,"2018-04-16 11:21:28","2018-04-16 11:36:19"
75210,CL_0001064057,"2018-04-16 09:41:45","2018-04-16 09:44:58"
75210,CL_0001064067,"2018-04-16 11:50:16","2018-04-16 11:52:38"
75210,CL_0001064078,"2018-04-16 09:47:57","2018-04-16 09:49:58"
75210,CL_0001064079,"2018-04-16 09:44:07","2018-04-16 09:49:58"
75210,CL_0001064083,"2018-04-16 08:25:48","2018-04-16 08:28:53"
75210,CL_0001064094,"2018-04-16 08:28:06","2018-04-16 08:33:53"
75210,CL_0001064095,"2018-04-16 08:37:07","2018-04-16 08:38:53"
75210,CL_0001064097,"2018-04-16 08:36:57","2018-04-16 08:38:53"
75210,CL_0001064099,"2018-04-16 08:40:00","2018-04-16 08:43:53"
75210,CL_0001064103,"2018-04-16 11:31:23","2018-04-16 11:37:39"
75210,CL_0001064109,"2018-04-16 08:56:28","2018-04-16 09:01:32"
75210,CL_0001064115,"2018-04-16 08:59:11","2018-04-16 09:01:32"
75210,CL_0001064118,"2018-04-16 09:01:12","2018-04-16 09:02:37"
75210,CL_0001064124,"2018-04-16 08:35:44","2018-04-16 08:38:53"
75210,CL_0001064127,"2018-04-16 08:48:39","2018-04-16 08:52:23"
75210,CL_0001064131,"2018-04-16 08:43:38","2018-04-16 08:46:10"
75210,CL_0001064134,"2018-04-16 09:00:19","2018-04-16 09:01:46"
75210,CL_0001064135,"2018-04-16 09:20:35","2018-04-16 09:26:53"
75210,CL_0001064146,"2018-04-16 09:21:14","2018-04-16 09:26:53"
75210,CL_0001064157,"2018-04-16 09:11:23","2018-04-16 09:16:53"
75210,CL_0001064162,"2018-04-16 09:18:11","2018-04-16 09:21:53"
75210,CL_0001064164,"2018-04-16 09:15:22","2018-04-16 09:16:53"
75210,CL_0001064168,"2018-04-16 09:15:48","2018-04-16 09:21:53"
